grupo,customer_types,sin_tacc,event_date,reserved_at,canceled_at,checked_at,anticipacion_min,status,customer_id
Becas personal,Becas Docentes,False,2026-07-03,2026-07-03 08:30:39.734000-03:00,,2026-07-03 13:52:44.702000-03:00,322.0828,used,2681
Becas personal,Becas Docentes,False,2026-07-03,2026-07-03 08:01:42.013000-03:00,,2026-07-03 13:59:55.103000-03:00,358.21816666666666,used,2717
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 09:21:12.997000-03:00,,2026-07-07 12:02:48.476000-03:00,161.59131666666664,used,2896
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 09:29:22.814000-03:00,,2026-07-07 12:02:52.613000-03:00,153.49665000000002,used,2897
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 10:14:36.698000-03:00,,2026-07-07 12:07:57.335000-03:00,113.34394999999999,used,2941
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 09:23:49.469000-03:00,,2026-07-07 12:12:13.867000-03:00,168.40663333333333,used,2951
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 09:38:07.208000-03:00,,2026-07-07 12:12:15.937000-03:00,154.14548333333332,used,2952
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 08:43:39.900000-03:00,,2026-07-07 12:12:18.213000-03:00,208.63855,used,2953
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 09:22:57.029000-03:00,,2026-07-07 12:12:20.218000-03:00,169.38648333333333,used,2954
Becas personal,Becas Docentes,False,2026-07-07,2026-07-07 08:02:10.759000-03:00,,2026-07-07 12:39:39.792000-03:00,277.4838833333333,used,3042
Becas personal,Becas Docentes,False,2026-07-08,2026-07-08 08:05:50.756000-03:00,,2026-07-08 12:15:52.621000-03:00,250.03108333333333,used,3160
Becas personal,Becas Docentes,False,2026-07-08,2026-07-08 10:15:47.067000-03:00,,2026-07-08 12:37:44.563000-03:00,141.95826666666665,used,3202
Becas personal,Becas Docentes,False,2026-07-08,2026-07-08 09:17:04.375000-03:00,,2026-07-08 12:37:49.459000-03:00,200.75140000000002,used,3203
Becas personal,Becas Docentes,False,2026-07-08,2026-07-08 08:45:08.556000-03:00,,2026-07-08 12:39:13.873000-03:00,234.08861666666664,used,3206
