grupo,customer_types,sin_tacc,event_date,reserved_at,canceled_at,checked_at,anticipacion_min,status,customer_id
Personal,Docente,False,2026-07-21,2026-07-21 10:37:05.756000-03:00,,2026-07-21 13:17:32.565000-03:00,160.44681666666665,used,4224
Personal,Docente,False,2026-07-21,2026-07-21 09:50:40.707000-03:00,,2026-07-21 13:26:24.345000-03:00,215.7273,used,4266
Personal,Docente,False,2026-07-21,2026-07-21 10:22:13.361000-03:00,,2026-07-21 13:38:58.562000-03:00,196.75334999999998,used,4318
Personal,Docente,False,2026-07-21,2026-07-21 08:31:05.506000-03:00,,2026-07-21 13:44:10.538000-03:00,313.08386666666667,used,4339
Personal,Docente,False,2026-07-21,2026-07-21 10:11:54.449000-03:00,,2026-07-21 14:15:00.624000-03:00,243.10291666666666,used,4445
Personal,Docente,False,2026-07-22,2026-07-22 10:40:06.043000-03:00,,2026-07-22 12:25:46.388000-03:00,105.67241666666668,used,4629
Personal,Docente,False,2026-07-22,2026-07-22 08:32:45.209000-03:00,,2026-07-22 12:43:48.944000-03:00,251.06225,used,4688
Personal,Docente,False,2026-07-22,2026-07-22 09:07:26.880000-03:00,,2026-07-22 12:47:29.084000-03:00,220.03673333333333,used,4703
Personal,Docente,False,2026-07-22,2026-07-22 09:24:16.501000-03:00,,2026-07-22 12:48:08.911000-03:00,203.8735,used,4706
Personal,Docente,False,2026-07-22,2026-07-22 08:52:31.145000-03:00,,2026-07-22 13:28:06.298000-03:00,275.5858833333333,used,4918
Personal,Docente,False,2026-07-22,2026-07-22 10:24:46.155000-03:00,,2026-07-22 13:30:18.312000-03:00,185.53594999999999,used,4927
Personal,Docente,False,2026-07-22,2026-07-22 10:15:12.734000-03:00,,2026-07-22 13:30:21.013000-03:00,195.13798333333335,used,4928
Personal,Docente,False,2026-07-22,2026-07-22 09:23:32.407000-03:00,,2026-07-22 13:38:34.405000-03:00,255.0333,used,4989
Personal,Docente,False,2026-07-22,2026-07-22 10:36:41.177000-03:00,,2026-07-22 13:55:36.615000-03:00,198.92396666666667,used,5065
Personal,Docente,False,2026-07-22,2026-07-22 08:06:06.062000-03:00,,2026-07-22 14:17:33.566000-03:00,371.45840000000004,used,5151
Personal,Docente,False,2026-07-23,2026-07-23 08:30:51.989000-03:00,,2026-07-23 12:08:38.645000-03:00,217.7776,used,5246
Personal,Docente,False,2026-07-23,2026-07-23 10:06:20.370000-03:00,,2026-07-23 12:08:42.450000-03:00,122.368,used,5247
Personal,Docente,False,2026-07-23,2026-07-23 10:27:17.627000-03:00,,2026-07-23 12:27:53.452000-03:00,120.59708333333333,used,5341
Personal,Docente,False,2026-07-23,2026-07-23 10:47:33.981000-03:00,,2026-07-23 12:27:57.258000-03:00,100.38795,used,5342
Personal,Docente,False,2026-07-23,2026-07-23 10:42:59.852000-03:00,,2026-07-23 12:52:50.295000-03:00,129.84071666666668,used,5411
Personal,Docente,False,2026-07-23,2026-07-23 08:00:08.150000-03:00,,2026-07-23 12:59:42.277000-03:00,299.56878333333333,used,5437
Personal,Docente,False,2026-07-23,2026-07-23 08:46:21.896000-03:00,,2026-07-23 13:27:02.003000-03:00,280.66845,used,5594
Personal,Docente,False,2026-07-23,2026-07-23 08:57:17.123000-03:00,,2026-07-23 13:45:30.085000-03:00,288.2160333333333,used,5699
Personal,Docente,False,2026-07-23,2026-07-23 10:13:07.634000-03:00,,2026-07-23 14:09:19.601000-03:00,236.19945,used,5808
Personal,Docente,False,2026-07-23,2026-07-23 08:02:33.904000-03:00,,2026-07-23 14:13:23.989000-03:00,370.83475,used,5829
Personal,Docente,False,2026-07-24,2026-07-24 08:34:32.323000-03:00,,2026-07-24 12:11:50.712000-03:00,217.30648333333332,used,5928
Personal,Docente,False,2026-07-24,2026-07-24 10:48:36.423000-03:00,,2026-07-24 12:26:23.815000-03:00,97.78986666666667,used,5967
Personal,Docente,False,2026-07-24,2026-07-24 08:17:21.802000-03:00,,2026-07-24 13:09:17.287000-03:00,291.92475,used,6101
Personal,Docente,False,2026-07-24,2026-07-24 08:30:53.849000-03:00,,2026-07-24 14:24:11.665000-03:00,353.2969333333333,used,6345
Personal,Docente,False,2026-07-27,2026-07-27 10:54:05.037000-03:00,,2026-07-27 12:21:27.527000-03:00,87.37483333333333,used,6503
Personal,Docente,False,2026-07-27,2026-07-27 08:43:50.317000-03:00,,2026-07-27 12:32:13.635000-03:00,228.38863333333333,used,6551
Personal,Docente,False,2026-07-27,2026-07-27 10:09:14.354000-03:00,,2026-07-27 13:01:51.590000-03:00,172.62060000000002,used,6688
Personal,Docente,False,2026-07-27,2026-07-27 09:51:45.271000-03:00,,2026-07-27 13:01:56.607000-03:00,190.18893333333332,used,6689
Personal,Docente,False,2026-07-27,2026-07-27 10:06:00.043000-03:00,,2026-07-27 13:14:03.775000-03:00,188.0622,used,6747
Personal,Docente,False,2026-07-27,2026-07-27 10:35:56.522000-03:00,,2026-07-27 13:17:34.430000-03:00,161.6318,used,6761
Personal,Docente,False,2026-07-27,2026-07-27 08:43:59.497000-03:00,,2026-07-27 13:26:26.058000-03:00,282.4426833333334,used,6809
Personal,Docente,False,2026-07-27,2026-07-27 08:53:46.464000-03:00,,2026-07-27 13:26:42.168000-03:00,272.9284,used,6810
Personal,Docente,False,2026-07-27,2026-07-27 09:47:26.453000-03:00,,2026-07-27 13:27:26.075000-03:00,219.9937,used,6815
Personal,Docente,False,2026-07-27,2026-07-27 08:54:06.645000-03:00,,2026-07-27 13:57:00.421000-03:00,302.8962666666667,used,6951
Personal,Docente,False,2026-07-27,2026-07-27 08:18:11.426000-03:00,,2026-07-27 14:21:22.660000-03:00,363.1872333333333,used,7047
Personal,Docente,False,2026-07-28,2026-07-28 09:43:35.270000-03:00,,2026-07-28 12:22:08.246000-03:00,158.5496,used,7256
Personal,Docente,False,2026-07-28,2026-07-28 09:29:43.894000-03:00,,2026-07-28 12:23:17.042000-03:00,173.55246666666665,used,7261
Personal,Docente,False,2026-07-28,2026-07-28 09:09:22.011000-03:00,,2026-07-28 12:36:42.525000-03:00,207.34189999999998,used,7350
Personal,Docente,False,2026-07-28,2026-07-28 08:18:47.658000-03:00,,2026-07-28 12:59:18.360000-03:00,280.5117,used,7469
Personal,Docente,False,2026-07-28,2026-07-28 08:03:46.585000-03:00,,2026-07-28 13:03:59.775000-03:00,300.2198333333333,used,7496
Personal,Docente,False,2026-07-28,2026-07-28 10:43:58.790000-03:00,,2026-07-28 13:10:14.691000-03:00,146.26501666666667,used,7537
Personal,Docente,False,2026-07-28,2026-07-28 08:33:42.485000-03:00,,2026-07-28 13:16:05.880000-03:00,282.3899166666667,used,7580
Personal,Docente,False,2026-07-28,2026-07-28 09:12:26.215000-03:00,,2026-07-28 13:29:01.022000-03:00,256.5801166666667,used,7652
Personal,Docente,False,2026-07-28,2026-07-28 10:58:10.947000-03:00,,2026-07-28 13:29:05.507000-03:00,150.90933333333334,used,7653
Personal,Docente,False,2026-07-28,2026-07-28 08:43:55.680000-03:00,,2026-07-28 13:45:20.767000-03:00,301.41811666666666,used,7728
Personal,Docente,False,2026-07-28,2026-07-28 08:55:25.495000-03:00,,2026-07-28 13:53:29.456000-03:00,298.06601666666666,used,7763
